aX,aY,aZ,gX,gY,gZ
1.6171,9.3801,0.3256,-17.78,-3.36,62.72
2.0623,9.6625,0.66,-24.57,-0.14,72.66
2.6321,9.8439,0.3589,-23.38,-7.28,84.07
2.3399,10.1411,0.6894,-33.6,0.35,93.45
1.9525,10.2411,0.3109,-30.73,-2.87,87.99
1.6416,10.399,0.3011,-23.87,-0.63,74.83
1.9525,10.8442,-0.2197,-23.73,-2.87,65.03
2.436,10.9589,0.6414,-24.71,12.11,68.25
2.7135,10.6245,-0.6982,-33.32,12.18,77.07
1.8946,10.2891,-0.6982,-18.13,3.57,94.29
6.3508,9.1506,2.9812,59.36,-24.5,114.59
0.914,16.3379,3.2686,-75.67,19.53,128.38
-0.6217,11.2698,0.053,-87.78,10.36,106.12
3.7618,9.5997,-1.2964,-16.31,-20.16,116.2
1.3827,12.2465,2.029,-9.8,-0.56,124.67
1.9241,13.39,-0.7943,-26.6,2.52,126.21
3.8236,14.0696,-1.3111,-24.43,4.76,144.9
2.6125,14.5295,-0.2157,-30.31,16.03,160.58
2.2398,14.7973,-0.2677,-31.08,24.5,171.85
1.8907,15.9937,2.3595,-14.0,28.98,176.33
0.1726,20.1144,0.6796,-10.43,48.02,182.28
-0.5021,23.6409,-3.245,-6.23,63.77,185.57
-0.2157,25.1443,-6.5803,-32.55,92.75,189.84
-3.1872,24.6892,-6.4371,-87.92,127.4,179.97
-6.6038,23.2486,-2.7665,-112.21,185.71,165.62
-7.1255,17.1283,-0.7228,-81.9,206.92,163.94
-5.2309,9.8439,0.1147,-1.96,191.24,146.79
2.943,1.2729,6.5567,-17.78,107.31,125.93
5.6231,1.976,0.2059,-72.52,32.34,94.5
6.3312,3.5363,-9.0447,-72.03,-44.38,120.12
3.3784,3.0577,-6.3743,-4.76,-66.08,148.47
1.8907,2.4595,-0.3109,0.56,-8.89,128.17
3.4363,3.5696,-1.0483,29.12,39.9,55.44
-1.3925,6.0821,-1.828,42.35,76.16,-39.41
-8.1023,5.6849,0.66,-36.54,78.54,-110.04
-8.6377,3.2833,-2.1104,-93.87,29.26,-149.03
-5.2691,0.7894,-4.2492,-75.11,-15.68,-159.74
-3.2156,-1.7034,-3.0146,8.33,-34.3,-154.77
-0.6178,-2.0672,-2.5125,91.35,-33.88,-148.89
0.4119,0.0814,-2.4026,135.87,-19.74,-145.81
