aX,aY,aZ,gX,gY,gZ,label
-0.6583,0.2918,0.0068,70.28,23.94,-408.94,running
-0.7871,0.6159,-0.1235,78.89,-51.1,-466.2,running
-0.6983,0.5617,-0.1357,95.83,-135.03,-444.85,running
-0.5568,1.3474,-0.1074,86.45,-126.84,-507.08,running
-0.2323,1.057,-0.0049,115.15,-109.55,-439.88,running
2.1404,1.4513,-0.3421,114.52,-16.1,-414.26,running
-1.749,1.466,0.5436,158.9,-41.86,-474.81,running
-0.1313,1.525,0.5173,213.43,-71.33,-459.97,running
1.9759,2.2272,0.2391,146.58,-106.19,-459.76,running
0.2606,1.8939,0.6261,157.64,-82.74,-466.2,running
1.2224,1.852,0.7632,210.0,-96.18,-422.87,running
2.4776,2.6806,0.7198,132.16,-95.76,-299.74,running
3.6493,3.4048,1.0712,58.8,-83.72,-293.86,running
4.0514,2.6171,1.0106,12.81,-68.39,-212.45,running
4.3344,2.2404,0.5773,-37.87,-92.75,-234.15,running
4.9664,1.2712,0.327,-43.89,-61.32,-156.66,running
4.412,0.3318,0.0078,-62.51,-63.77,15.68,running
4.087,0.2386,-0.0073,-63.07,-83.37,109.69,running
3.0193,0.0356,-0.3699,-37.8,-30.38,105.42,running
3.0266,0.283,-0.0615,-67.69,-131.95,173.46,running
1.9798,0.0371,0.0956,-192.64,-150.99,268.03,running
0.8882,-0.8281,-0.2059,-108.57,-155.54,214.55,running
-0.2333,-0.0112,-4.739,240.8,-176.54,32.62,running
0.0107,4.4281,2.8016,-656.95,-53.55,339.99,running
0.8799,5.712,1.0848,279.37,-69.65,402.71,running
0.7925,0.1523,-0.5339,77.63,33.18,325.99,running
0.2064,-1.0668,-0.1493,-63.63,63.28,245.98,running
0.4451,-1.384,0.3719,59.57,16.8,97.37,running
0.5836,0.429,1.5474,85.75,-106.82,187.32,running
0.446,1.3996,-0.9126,-4.13,-59.85,214.83,running
0.1581,1.4938,-0.5553,4.41,-40.46,159.04,running
1.0248,1.0887,-0.3562,-28.35,-22.61,160.23,running
0.9418,1.0926,-0.1737,-20.51,-12.74,157.08,running
0.5324,0.8316,-0.0527,-43.54,-2.59,140.14,running
0.6842,0.6324,-0.2318,-7.63,27.44,96.53,running
0.6744,0.8969,-0.1205,24.92,60.76,16.1,running
0.5895,1.0297,-0.1571,-50.4,67.2,52.85,running
0.6608,0.7447,-0.1396,-22.05,55.65,49.14,running
0.6154,0.7203,-0.2611,-7.49,50.89,54.32,running
0.6593,0.9877,-0.3523,-14.42,45.5,55.79,running
0.7857,1.1268,-0.2786,-16.87,61.04,57.26,running
0.711,1.2434,-0.2645,-12.53,54.74,69.86,running
0.6202,1.404,-0.2211,-11.27,45.99,82.74,running
0.6002,1.5357,-0.0273,-1.19,45.29,110.39,running
0.6666,1.6724,-0.0015,12.18,62.58,176.12,running
0.7608,1.7617,-0.3172,53.69,73.08,144.97,running
0.2684,2.0125,-0.0703,16.24,88.55,147.63,running
0.6583,1.9559,-0.2718,20.16,102.13,162.54,running
0.4285,2.0379,-0.4329,25.69,125.3,142.59,running
0.2347,2.1745,-0.7257,14.21,141.82,124.67,running
0.1474,2.2653,-1.0175,16.66,136.43,107.17,running
-0.3548,2.4634,-1.24,-60.69,111.65,98.14,running
-0.7935,2.6445,-0.9819,-115.15,111.51,82.95,running
-0.8091,2.2248,-0.5993,-83.51,95.06,84.21,running
-0.4202,1.2976,-0.2015,-33.67,85.61,155.89,running
1.1507,1.4225,-0.1967,-55.79,48.86,208.04,running
-0.6193,1.9998,-0.9521,-105.7,27.51,168.56,running
-1.546,2.0725,-1.0492,-61.6,32.13,150.08,running
-0.8638,1.1468,-0.6349,-86.59,58.1,238.84,running
-0.7169,0.9365,-1.0131,-51.66,46.97,250.46,running
-0.5114,1.0136,-0.9243,-35.84,18.27,188.44,running
0.2835,1.2678,-1.2464,-113.33,-45.78,113.96,running
-0.9555,1.9032,-1.1512,-171.57,-80.92,-0.63,running
-1.6612,1.2088,-0.6954,-94.29,-62.44,-38.64,running
-0.8145,0.4719,-0.4929,-93.38,-75.53,-33.04,running
-0.6017,0.2996,-0.4353,-53.83,-119.21,-81.48,running
-0.9706,0.449,-0.4895,-25.27,-141.61,-125.37,running
-0.8672,0.427,-0.405,2.24,-156.73,-138.74,running
-0.49,0.3738,-0.2474,24.01,-162.12,-165.69,running
-0.3406,0.3919,-0.2416,32.83,-133.84,-219.31,running
-0.4426,0.5065,-0.2445,48.51,-105.21,-290.22,running
-0.3611,0.5905,-0.1908,65.38,-84.21,-347.34,running
-0.0991,0.7188,-0.1923,85.61,-52.64,-392.14,running
0.0244,0.9355,-0.2621,98.0,-15.26,-429.59,running
0.0386,1.036,-0.242,107.59,39.34,-452.9,running
-0.0093,1.096,-0.0883,130.97,64.33,-462.98,running
0.059,1.2473,0.0044,163.38,48.65,-457.94,running
0.3304,1.4372,-0.1552,192.01,-24.57,-439.25,running
0.7081,1.6236,-0.0322,182.84,-49.56,-437.5,running
1.2966,2.0857,0.0288,140.0,-67.41,-459.76,running
1.3405,1.9657,0.2796,126.42,-109.76,-402.64,running
1.7797,2.0828,0.4451,124.74,-117.32,-349.72,running
3.0871,2.6279,0.6163,87.57,-141.89,-280.28,running
3.8406,2.7972,0.5212,35.49,-128.94,-253.61,running
4.0494,1.9383,0.5314,-7.84,-59.85,-228.9,running
4.3491,0.9067,0.5734,-14.77,-7.14,-129.57,running
4.3149,0.6954,0.3187,-43.47,-5.46,-16.59,running
4.3622,0.5334,0.2669,-79.94,-10.85,48.3,running
3.9996,0.2464,0.446,-126.42,-28.7,111.58,running
3.0905,-0.2747,0.6129,-99.89,-35.63,138.11,running
2.0886,-0.5285,0.5002,-14.49,-76.93,123.13,running
-0.142,1.1868,-3.0983,111.37,92.05,-14.14,running
2.5713,5.7228,1.5191,-301.42,-1.89,239.96,running
-0.0273,4.3574,1.1287,33.04,-72.1,317.45,running
-0.0039,-0.3094,-0.6315,135.8,32.69,339.22,running
-0.2791,-1.4084,-0.4094,44.03,46.48,233.87,running
0.2133,-1.4298,-0.5319,79.52,71.26,115.5,running
2.0154,0.3714,0.8316,49.35,-49.56,196.07,running
1.2512,1.7553,-0.4241,4.41,-87.64,223.02,running
-0.0181,1.9754,-0.0503,-21.77,-55.37,134.54,running
0.529,1.1034,-0.3821,-51.17,-18.41,103.67,running
0.6129,0.9809,-0.4119,-36.33,-22.47,110.74,running
0.3084,0.8608,-0.4255,-79.45,2.45,103.39,running
0.6027,0.6978,-0.1771,-65.52,-11.34,107.73,running
0.6803,0.7379,-0.1366,-18.76,18.69,95.2,running
0.588,0.9077,-0.0625,-13.23,63.7,81.06,running
0.4875,0.9028,-0.205,-14.77,76.02,70.0,running
0.447,0.8828,-0.3714,-1.82,83.16,69.65,running
0.4387,0.9697,-0.4548,-3.01,74.34,80.78,running
0.6456,1.0634,-0.4807,-1.68,63.35,85.75,running
0.6442,1.1756,-0.3836,16.31,49.07,85.61,running
0.5446,1.3498,-0.1932,9.8,45.78,80.01,running
0.4612,1.3908,-0.0752,-1.82,45.29,78.26,running
0.5309,1.4235,-0.1137,4.83,51.87,85.82,running
0.6017,1.5284,-0.4841,21.7,63.98,109.62,running
0.4631,1.7163,-0.1806,-3.92,68.81,127.47,running
0.551,2.0428,-0.1532,-15.54,77.42,145.6,running
0.2708,2.0442,-0.2425,-12.39,88.69,138.39,running
0.161,2.174,-0.448,-17.78,95.69,127.33,running
0.1362,2.3156,-0.7135,-24.64,99.05,123.13,running
0.0107,2.3951,-1.1766,-62.72,96.32,112.91,running
-0.4914,2.4947,-0.9614,-99.12,123.2,92.54,running
-0.7745,1.9017,-0.8457,-76.72,146.02,97.65,running
